NAME                                                                          VERSION                                   TYPE      
Jinja2                                                                        3.1.2                                     python     
MarkupSafe                                                                    2.1.3                                     python     
Pillow                                                                        9.5.0                                     python     
PySocks                                                                       1.7.1                                     python     
adduser                                                                       3.129ubuntu1                              deb        
adwaita-icon-theme                                                            41.0-1ubuntu1                             deb        
ansi2html                                                                     1.8.0                                     python     
anybadge                                                                      1.14.0                                    python     
apt                                                                           2.6.0ubuntu0.1                            deb        
apt-utils                                                                     2.6.0ubuntu0.1                            deb        
at-spi2-common                                                                2.48.0-1                                  deb        
attrs                                                                         23.1.0                                    python     
base-files                                                                    12.3ubuntu2                               deb        
base-passwd                                                                   3.6.1                                     deb        
bash                                                                          5.2.15                                    binary     
bash                                                                          5.2.15-2ubuntu1                           deb        
boto3                                                                         1.26.108                                  python     
botocore                                                                      1.29.165                                  python     
bsdutils                                                                      1:2.38.1-4ubuntu1                         deb        
ca-certificates                                                               20230311ubuntu0.23.04.1                   deb        
certifi                                                                       2023.11.17                                python     
charset-normalizer                                                            3.3.2                                     python     
cloud.google.com/go                                                           v0.102.1                                  go-module  
cloud.google.com/go/compute                                                   v1.7.0                                    go-module  
cloud.google.com/go/logging                                                   v1.4.2                                    go-module  
code.cloudfoundry.org/clock                                                   v1.0.0                                    go-module  
containerd.io                                                                 1.6.25-1                                  deb        
coreutils                                                                     9.1-1ubuntu2                              deb        
curl                                                                          7.88.1-8ubuntu2.3                         deb        
dash                                                                          0.5.12-2ubuntu1                           deb        
dbus                                                                          1.14.4-1ubuntu1                           deb        
dbus-bin                                                                      1.14.4-1ubuntu1                           deb        
dbus-daemon                                                                   1.14.4-1ubuntu1                           deb        
dbus-session-bus-common                                                       1.14.4-1ubuntu1                           deb        
dbus-system-bus-common                                                        1.14.4-1ubuntu1                           deb        
dbus-user-session                                                             1.14.4-1ubuntu1                           deb        
dconf-gsettings-backend                                                       0.40.0-4                                  deb        
dconf-service                                                                 0.40.0-4                                  deb        
debconf                                                                       1.5.82                                    deb        
debianutils                                                                   5.7-0.4                                   deb        
diffutils                                                                     1:3.8-4                                   deb        
dirmngr                                                                       2.2.40-1.1ubuntu1                         deb        
docker                                                                        6.0.1                                     python     
docker-ce                                                                     5:24.0.7-1~ubuntu.23.04~lunar             deb        
docker-ce-cli                                                                 5:24.0.7-1~ubuntu.23.04~lunar             deb        
dpkg                                                                          1.21.21ubuntu1                            deb        
e2fsprogs                                                                     1.47.0-1ubuntu1                           deb        
findutils                                                                     4.9.0-3ubuntu1                            deb        
fontconfig                                                                    2.14.1-3ubuntu3                           deb        
fontconfig-config                                                             2.14.1-3ubuntu3                           deb        
fonts-liberation                                                              1:1.07.4-11                               deb        
gcc-13-base                                                                   13-20230320-1ubuntu1                      deb        
github.com/Graylog2/go-gelf                                                   v0.0.0-20191017102106-1550ee647df0        go-module  
github.com/Microsoft/hcsshim                                                  v0.9.10                                   go-module  
github.com/Microsoft/hcsshim                                                  v0.9.8                                    go-module  
github.com/RackSec/srslog                                                     v0.0.0-20180709174129-a4725f04ec91        go-module  
github.com/agext/levenshtein                                                  v1.2.3                                    go-module  
github.com/armon/circbuf                                                      v0.0.0-20190214190532-5111143e8da2        go-module  
github.com/armon/go-metrics                                                   v0.4.1                                    go-module  
github.com/aws/aws-sdk-go-v2                                                  v1.16.13                                  go-module  
github.com/aws/aws-sdk-go-v2/config                                           v1.17.4                                   go-module  
github.com/aws/aws-sdk-go-v2/credentials                                      v1.12.17                                  go-module  
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                 v1.12.14                                  go-module  
github.com/aws/aws-sdk-go-v2/internal/configsources                           v1.1.20                                   go-module  
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2                            v2.4.14                                   go-module  
github.com/aws/aws-sdk-go-v2/internal/ini                                     v1.3.21                                   go-module  
github.com/aws/aws-sdk-go-v2/service/cloudwatchlogs                           v1.15.17                                  go-module  
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url                   v1.9.14                                   go-module  
github.com/aws/aws-sdk-go-v2/service/sso                                      v1.11.20                                  go-module  
github.com/aws/aws-sdk-go-v2/service/ssooidc                                  v1.13.2                                   go-module  
github.com/aws/aws-sdk-go-v2/service/sts                                      v1.16.16                                  go-module  
github.com/aws/smithy-go                                                      v1.13.1                                   go-module  
github.com/beorn7/perks                                                       v1.0.1                                    go-module  
github.com/blang/semver                                                       v3.5.1+incompatible                       go-module  
github.com/bsphere/le_go                                                      v0.0.0-20200109081728-fc06dab2caa8        go-module  
github.com/cenkalti/backoff/v4                                                v4.1.2                                    go-module  
github.com/cespare/xxhash/v2                                                  v2.1.2                                    go-module  
github.com/checkpoint-restore/go-criu/v5                                      v5.3.0                                    go-module  
github.com/cilium/ebpf                                                        v0.7.0                                    go-module  
github.com/cilium/ebpf                                                        v0.9.1                                    go-module  
github.com/cloudflare/cfssl                                                   v0.0.0-20180323000720-5d63dbd981b5        go-module  
github.com/container-storage-interface/spec                                   v1.5.0                                    go-module  
github.com/containerd/aufs                                                    v1.0.0                                    go-module  
github.com/containerd/btrfs                                                   v1.0.0                                    go-module  
github.com/containerd/cgroups                                                 v1.0.4                                    go-module  
github.com/containerd/cgroups/v3                                              v3.0.2                                    go-module  
github.com/containerd/console                                                 v1.0.3                                    go-module  
github.com/containerd/containerd                                              v1.6.22                                   go-module  
github.com/containerd/containerd                                              v1.6.25                                   go-module  
github.com/containerd/continuity                                              v0.3.0                                    go-module  
github.com/containerd/fifo                                                    v1.0.0                                    go-module  
github.com/containerd/fifo                                                    v1.1.0                                    go-module  
github.com/containerd/go-cni                                                  v1.1.6                                    go-module  
github.com/containerd/go-runc                                                 v1.0.0                                    go-module  
github.com/containerd/go-runc                                                 v1.1.0                                    go-module  
github.com/containerd/imgcrypt                                                v1.1.4                                    go-module  
github.com/containerd/log                                                     v0.1.0                                    go-module  
github.com/containerd/nri                                                     v0.1.1                                    go-module  
github.com/containerd/stargz-snapshotter/estargz                              v0.13.0                                   go-module  
github.com/containerd/ttrpc                                                   v1.1.2                                    go-module  
github.com/containerd/typeurl                                                 v1.0.2                                    go-module  
github.com/containerd/typeurl/v2                                              v2.1.0                                    go-module  
github.com/containerd/zfs                                                     v1.1.0                                    go-module  
github.com/containernetworking/cni                                            v1.1.1                                    go-module  
github.com/containernetworking/plugins                                        v1.1.1                                    go-module  
github.com/containers/ocicrypt                                                v1.1.3                                    go-module  
github.com/coreos/go-systemd/v22                                              v22.3.2                                   go-module  
github.com/coreos/go-systemd/v22                                              v22.5.0                                   go-module  
github.com/cpuguy83/go-md2man/v2                                              v2.0.0                                    go-module  
github.com/cpuguy83/go-md2man/v2                                              v2.0.0-20190314233015-f79a8a8ca69d        go-module  
github.com/cyphar/filepath-securejoin                                         v0.2.3                                    go-module  
github.com/davecgh/go-spew                                                    v1.1.1                                    go-module  
github.com/deckarep/golang-set/v2                                             v2.3.0                                    go-module  
github.com/dimchansky/utfbom                                                  v1.1.1                                    go-module  
github.com/docker/cli/cmd/docker                                              v24.0.7                                   go-module  
github.com/docker/distribution                                                v2.8.2+incompatible                       go-module  
github.com/docker/docker                                                      v24.0.7                                   go-module  
github.com/docker/go-connections                                              v0.4.0                                    go-module  
github.com/docker/go-events                                                   v0.0.0-20190806004212-e31b211e4f1c        go-module  
github.com/docker/go-metrics                                                  v0.0.1                                    go-module  
github.com/docker/go-units                                                    v0.4.0                                    go-module  
github.com/docker/go-units                                                    v0.5.0                                    go-module  
github.com/docker/libkv                                                       v0.2.2-0.20211217103745-e480589147e3      go-module  
github.com/docker/libtrust                                                    v0.0.0-20150526203908-9cbd2a1374f4        go-module  
github.com/dustin/go-humanize                                                 v1.0.0                                    go-module  
github.com/emicklei/go-restful                                                v2.16.0+incompatible                      go-module  
github.com/emicklei/go-restful/v3                                             v3.10.1                                   go-module  
github.com/felixge/httpsnoop                                                  v1.0.2                                    go-module  
github.com/fernet/fernet-go                                                   v0.0.0-20211208181803-9f70042a33ee        go-module  
github.com/fluent/fluent-logger-golang                                        v1.9.0                                    go-module  
github.com/fsnotify/fsnotify                                                  v1.4.9                                    go-module  
github.com/go-logr/logr                                                       v1.2.2                                    go-module  
github.com/go-logr/logr                                                       v1.2.3                                    go-module  
github.com/go-logr/stdr                                                       v1.2.2                                    go-module  
github.com/godbus/dbus/v5                                                     v5.0.6                                    go-module  
github.com/godbus/dbus/v5                                                     v5.1.0                                    go-module  
github.com/gofrs/flock                                                        v0.8.1                                    go-module  
github.com/gogo/googleapis                                                    v1.3.2                                    go-module  
github.com/gogo/googleapis                                                    v1.4.1                                    go-module  
github.com/gogo/protobuf                                                      v1.3.2                                    go-module  
github.com/golang-jwt/jwt/v4                                                  v4.4.2                                    go-module  
github.com/golang/gddo                                                        v0.0.0-20190904175337-72a348e765d2        go-module  
github.com/golang/groupcache                                                  v0.0.0-20210331224755-41bb18bfe9da        go-module  
github.com/golang/protobuf                                                    v1.5.2                                    go-module  
github.com/google/btree                                                       v1.1.2                                    go-module  
github.com/google/certificate-transparency-go                                 v1.1.4                                    go-module  
github.com/google/go-cmp                                                      v0.5.9                                    go-module  
github.com/google/gofuzz                                                      v1.2.0                                    go-module  
github.com/google/shlex                                                       v0.0.0-20191202100458-e7afc7fbc510        go-module  
github.com/google/uuid                                                        v1.3.0                                    go-module  
github.com/googleapis/enterprise-certificate-proxy                            v0.1.0                                    go-module  
github.com/googleapis/gax-go/v2                                               v2.4.0                                    go-module  
github.com/gorilla/mux                                                        v1.8.0                                    go-module  
github.com/grpc-ecosystem/go-grpc-middleware                                  v1.3.0                                    go-module  
github.com/grpc-ecosystem/go-grpc-prometheus                                  v1.2.0                                    go-module  
github.com/grpc-ecosystem/grpc-gateway                                        v1.16.0                                   go-module  
github.com/hashicorp/errwrap                                                  v1.1.0                                    go-module  
github.com/hashicorp/go-immutable-radix                                       v1.3.1                                    go-module  
